metric,count,mean,std,variance,min,q25,median,q75,max,sum
prompt_tokens,101.0,462099.5149,168637.775,28438699156.1923,120002.0,345212.0,431640.0,581511.0,1092240.0,46672051.0
completion_tokens,101.0,102431.4059,23601.504,557030993.0436,44274.0,86726.0,97165.0,117952.0,174155.0,10345572.0
total_tokens,101.0,564530.9208,187462.0621,35142024715.1937,164276.0,440798.0,529000.0,686353.0,1266395.0,57017623.0
source_loc,101.0,5340.0396,1497.2662,2241806.0984,1565.0,4324.0,5077.0,6389.0,12046.0,539344.0
tokens_per_source_loc,101.0,114.5644,12.5007,156.268,93.38,105.7,113.18,123.27,155.78,11571.0
